unit_id,unit_level,pref_name,unit_code,n_geoms
aza:Aomori:02201090002,aza,Aomori,02201090002,9038
aza:Aomori:02201090002,aza,Aomori,02201090002,9038
aza:Aomori:02201090003,aza,Aomori,02201090003,9038
aza:Aomori:02201090004,aza,Aomori,02201090004,9038
aza:Aomori:02201091001,aza,Aomori,02201091001,9038
aza:Aomori:02201091002,aza,Aomori,02201091002,9038
aza:Aomori:02201092001,aza,Aomori,02201092001,9038
aza:Aomori:02201092002,aza,Aomori,02201092002,9038
aza:Aomori:02201092005,aza,Aomori,02201092005,9038
aza:Aomori:02201092006,aza,Aomori,02201092006,9038
aza:Aomori:02201092007,aza,Aomori,02201092007,9038
aza:Aomori:02201092008,aza,Aomori,02201092008,9038
aza:Aomori:02201093001,aza,Aomori,02201093001,9038
aza:Aomori:02201093002,aza,Aomori,02201093002,9038
aza:Aomori:02201094001,aza,Aomori,02201094001,9038
aza:Aomori:02201094002,aza,Aomori,02201094002,9038
aza:Aomori:02201095000,aza,Aomori,02201095000,9038
aza:Aomori:02201095001,aza,Aomori,02201095001,9038
aza:Aomori:02201095002,aza,Aomori,02201095002,9038
aza:Aomori:02201095003,aza,Aomori,02201095003,9038
aza:Aomori:02201095004,aza,Aomori,02201095004,9038
aza:Aomori:02201095005,aza,Aomori,02201095005,9038
aza:Aomori:02201095006,aza,Aomori,02201095006,9038
aza:Aomori:02201096001,aza,Aomori,02201096001,9038
aza:Aomori:02201096002,aza,Aomori,02201096002,9038
aza:Aomori:02201096003,aza,Aomori,02201096003,9038
aza:Aomori:02201097001,aza,Aomori,02201097001,9038
aza:Aomori:02201097002,aza,Aomori,02201097002,9038
aza:Aomori:02201097003,aza,Aomori,02201097003,9038
aza:Aomori:02201098001,aza,Aomori,02201098001,9038
aza:Aomori:02201098002,aza,Aomori,02201098002,9038
aza:Aomori:02201098003,aza,Aomori,02201098003,9038
aza:Aomori:02201099001,aza,Aomori,02201099001,9038
aza:Aomori:02201099002,aza,Aomori,02201099002,9038
aza:Aomori:02201099003,aza,Aomori,02201099003,9038
aza:Aomori:02201100000,aza,Aomori,02201100000,9038
aza:Aomori:02201100001,aza,Aomori,02201100001,9038
aza:Aomori:02201100002,aza,Aomori,02201100002,9038
aza:Aomori:02201100003,aza,Aomori,02201100003,9038
aza:Aomori:02201100004,aza,Aomori,02201100004,9038
aza:Aomori:02201101001,aza,Aomori,02201101001,9038
aza:Aomori:02201101002,aza,Aomori,02201101002,9038
aza:Aomori:02201101002,aza,Aomori,02201101002,9038
aza:Aomori:02201102001,aza,Aomori,02201102001,9038
aza:Aomori:02201102002,aza,Aomori,02201102002,9038
aza:Aomori:02201102003,aza,Aomori,02201102003,9038
aza:Aomori:02201103001,aza,Aomori,02201103001,9038
aza:Aomori:02201103002,aza,Aomori,02201103002,9038
aza:Aomori:02201103003,aza,Aomori,02201103003,9038
aza:Aomori:02201103004,aza,Aomori,02201103004,9038
aza:Aomori:02201103005,aza,Aomori,02201103005,9038
aza:Aomori:02201103006,aza,Aomori,02201103006,9038
aza:Aomori:02201103007,aza,Aomori,02201103007,9038
aza:Aomori:02201103008,aza,Aomori,02201103008,9038
aza:Aomori:02201104001,aza,Aomori,02201104001,9038
aza:Aomori:02201104002,aza,Aomori,02201104002,9038
aza:Aomori:02201104003,aza,Aomori,02201104003,9038
aza:Aomori:02201105001,aza,Aomori,02201105001,9038
aza:Aomori:02201105002,aza,Aomori,02201105002,9038
aza:Aomori:02201105003,aza,Aomori,02201105003,9038
aza:Aomori:02201106000,aza,Aomori,02201106000,9038
aza:Aomori:02201106001,aza,Aomori,02201106001,9038
aza:Aomori:022011070,aza,Aomori,022011070,9038
aza:Aomori:02201108000,aza,Aomori,02201108000,9038
aza:Aomori:02201108001,aza,Aomori,02201108001,9038
aza:Aomori:02201108002,aza,Aomori,02201108002,9038
aza:Aomori:02201108003,aza,Aomori,02201108003,9038
aza:Aomori:02201108004,aza,Aomori,02201108004,9038
aza:Aomori:02201108005,aza,Aomori,02201108005,9038
aza:Aomori:02201109001,aza,Aomori,02201109001,9038
aza:Aomori:02201109002,aza,Aomori,02201109002,9038
aza:Aomori:02201110001,aza,Aomori,02201110001,9038
aza:Aomori:02201110002,aza,Aomori,02201110002,9038
