unit_id,month,feature,value,lower_bound,upper_bound,bound_exceeded
mura:Akita:05327,2020-12,B2,5211.1707,-888.0414,2885.6246,upper
mura:Akita:05348,2020-12,B2,3101.9798,-888.0414,2885.6246,upper
mura:Akita:05361,2020-12,B2,4342.6994,-888.0414,2885.6246,upper
mura:Akita:05363,2020-12,B2,3319.5256,-888.0414,2885.6246,upper
mura:Akita:05366,2020-12,B2,3900.6283,-888.0414,2885.6246,upper
mura:Akita:05434,2020-12,B2,7173.388,-888.0414,2885.6246,upper
mura:Akita:05463,2020-12,B2,6187.8702,-888.0414,2885.6246,upper
mura:Akita:05464,2020-12,B2,7174.0,-888.0414,2885.6246,upper
mura:Aomori:02362,2020-12,B2,3454.6745,-888.0414,2885.6246,upper
mura:Aomori:02441,2020-12,B2,2891.6782,-888.0414,2885.6246,upper
mura:Aomori:02443,2020-12,B2,3351.7158,-888.0414,2885.6246,upper
mura:Akita:05201,2021-01,B2,6258.9217,-888.0414,2885.6246,upper
mura:Akita:05202,2021-01,B2,3718.6575,-888.0414,2885.6246,upper
mura:Akita:05203,2021-01,B2,8749.777,-888.0414,2885.6246,upper
mura:Akita:05204,2021-01,B2,6820.3706,-888.0414,2885.6246,upper
mura:Akita:05207,2021-01,B2,8869.7535,-888.0414,2885.6246,upper
mura:Akita:05209,2021-01,B2,5030.0791,-888.0414,2885.6246,upper
mura:Akita:05210,2021-01,B2,6051.6025,-888.0414,2885.6246,upper
mura:Akita:05211,2021-01,B2,4290.2745,-888.0414,2885.6246,upper
mura:Akita:05212,2021-01,B2,8240.8279,-888.0414,2885.6246,upper
mura:Akita:05213,2021-01,B2,7743.8954,-888.0414,2885.6246,upper
mura:Akita:05214,2021-01,B2,4392.8472,-888.0414,2885.6246,upper
mura:Akita:05215,2021-01,B2,8535.4292,-888.0414,2885.6246,upper
mura:Akita:05303,2021-01,B2,3353.8018,-888.0414,2885.6246,upper
mura:Akita:05327,2021-01,B2,6621.5148,-888.0414,2885.6246,upper
mura:Akita:05346,2021-01,B2,3465.5016,-888.0414,2885.6246,upper
mura:Akita:05348,2021-01,B2,4089.5129,-888.0414,2885.6246,upper
mura:Akita:05361,2021-01,B2,5516.8966,-888.0414,2885.6246,upper
mura:Akita:05363,2021-01,B2,4257.6859,-888.0414,2885.6246,upper
mura:Akita:05366,2021-01,B2,4935.8464,-888.0414,2885.6246,upper
mura:Akita:05368,2021-01,B2,3500.5763,-888.0414,2885.6246,upper
mura:Akita:05434,2021-01,B2,9066.1722,-888.0414,2885.6246,upper
mura:Akita:05463,2021-01,B2,7733.1605,-888.0414,2885.6246,upper
mura:Akita:05464,2021-01,B2,9067.0,-888.0414,2885.6246,upper
mura:Aomori:02362,2021-01,B2,3400.982,-888.0414,2885.6246,upper
mura:Akita:05201,2021-02,B2,4315.8506,-888.0414,2885.6246,upper
mura:Akita:05203,2021-02,B2,6267.1112,-888.0414,2885.6246,upper
mura:Akita:05204,2021-02,B2,3180.9547,-888.0414,2885.6246,upper
mura:Akita:05207,2021-02,B2,6343.0891,-888.0414,2885.6246,upper
mura:Akita:05209,2021-02,B2,3104.9097,-888.0414,2885.6246,upper
mura:Akita:05210,2021-02,B2,4553.2619,-888.0414,2885.6246,upper
mura:Akita:05211,2021-02,B2,3146.9155,-888.0414,2885.6246,upper
mura:Akita:05212,2021-02,B2,5774.3023,-888.0414,2885.6246,upper
mura:Akita:05213,2021-02,B2,4024.4463,-888.0414,2885.6246,upper
mura:Akita:05214,2021-02,B2,3507.9843,-888.0414,2885.6246,upper
mura:Akita:05215,2021-02,B2,5240.0451,-888.0414,2885.6246,upper
mura:Akita:05327,2021-02,B2,3961.5237,-888.0414,2885.6246,upper
mura:Akita:05348,2021-02,B2,2895.0187,-888.0414,2885.6246,upper
mura:Akita:05361,2021-02,B2,3629.1369,-888.0414,2885.6246,upper
mura:Akita:05363,2021-02,B2,3056.5993,-888.0414,2885.6246,upper
mura:Akita:05366,2021-02,B2,3428.0795,-888.0414,2885.6246,upper
mura:Akita:05434,2021-02,B2,6467.4758,-888.0414,2885.6246,upper
mura:Akita:05463,2021-02,B2,5623.3152,-888.0414,2885.6246,upper
mura:Akita:05464,2021-02,B2,6468.0,-888.0414,2885.6246,upper
mura:Akita:05201,2021-03,B2,2916.2031,-888.0414,2885.6246,upper
mura:Akita:05203,2021-03,B2,4020.4876,-888.0414,2885.6246,upper
mura:Akita:05204,2021-03,B2,3259.9031,-888.0414,2885.6246,upper
mura:Akita:05207,2021-03,B2,4073.4415,-888.0414,2885.6246,upper
mura:Akita:05212,2021-03,B2,3795.9074,-888.0414,2885.6246,upper
mura:Akita:05213,2021-03,B2,3584.2098,-888.0414,2885.6246,upper
mura:Akita:05215,2021-03,B2,3958.0647,-888.0414,2885.6246,upper
mura:Akita:05327,2021-03,B2,3071.1956,-888.0414,2885.6246,upper
mura:Akita:05434,2021-03,B2,4160.1346,-888.0414,2885.6246,upper
mura:Akita:05463,2021-03,B2,3571.7849,-888.0414,2885.6246,upper
mura:Akita:05464,2021-03,B2,4160.5,-888.0414,2885.6246,upper
mura:Akita:05201,2021-11,B2,4186.5406,-888.0414,2885.6246,upper
mura:Akita:05202,2021-11,B2,5638.1319,-888.0414,2885.6246,upper
mura:Akita:05203,2021-11,B2,4145.7224,-888.0414,2885.6246,upper
mura:Akita:05204,2021-11,B2,8699.3502,-888.0414,2885.6246,upper
mura:Akita:05207,2021-11,B2,4198.0202,-888.0414,2885.6246,upper
mura:Akita:05209,2021-11,B2,7335.0147,-888.0414,2885.6246,upper
mura:Akita:05210,2021-11,B2,2984.6022,-888.0414,2885.6246,upper
mura:Akita:05211,2021-11,B2,3789.6137,-888.0414,2885.6246,upper
mura:Akita:05212,2021-11,B2,4245.5816,-888.0414,2885.6246,upper
mura:Akita:05213,2021-11,B2,7183.4568,-888.0414,2885.6246,upper
mura:Akita:05215,2021-11,B2,5758.8379,-888.0414,2885.6246,upper
mura:Akita:05303,2021-11,B2,8248.9239,-888.0414,2885.6246,upper
mura:Akita:05327,2021-11,B2,5923.0245,-888.0414,2885.6246,upper
mura:Akita:05346,2021-11,B2,7304.6182,-888.0414,2885.6246,upper
mura:Akita:05348,2021-11,B2,4874.6812,-888.0414,2885.6246,upper
mura:Akita:05349,2021-11,B2,5599.4551,-888.0414,2885.6246,upper
mura:Akita:05361,2021-11,B2,4991.8197,-888.0414,2885.6246,upper
mura:Akita:05363,2021-11,B2,4286.2992,-888.0414,2885.6246,upper
mura:Akita:05366,2021-11,B2,4385.9336,-888.0414,2885.6246,upper
mura:Akita:05368,2021-11,B2,3883.0701,-888.0414,2885.6246,upper
mura:Akita:05434,2021-11,B2,4283.6391,-888.0414,2885.6246,upper
mura:Akita:05463,2021-11,B2,3702.5789,-888.0414,2885.6246,upper
mura:Akita:05464,2021-11,B2,4284.0,-888.0414,2885.6246,upper
mura:Aomori:02201,2021-11,B2,6390.7498,-888.0414,2885.6246,upper
mura:Aomori:02202,2021-11,B2,8354.6153,-888.0414,2885.6246,upper
mura:Aomori:02203,2021-11,B2,3761.6949,-888.0414,2885.6246,upper
mura:Aomori:02204,2021-11,B2,8068.6845,-888.0414,2885.6246,upper
mura:Aomori:02205,2021-11,B2,5950.8191,-888.0414,2885.6246,upper
mura:Aomori:02206,2021-11,B2,6207.2917,-888.0414,2885.6246,upper
mura:Aomori:02207,2021-11,B2,3386.7199,-888.0414,2885.6246,upper
mura:Aomori:02209,2021-11,B2,5752.5826,-888.0414,2885.6246,upper
mura:Aomori:02210,2021-11,B2,8770.4065,-888.0414,2885.6246,upper
mura:Aomori:02301,2021-11,B2,4459.8932,-888.0414,2885.6246,upper
mura:Aomori:02303,2021-11,B2,3651.4542,-888.0414,2885.6246,upper
mura:Aomori:02304,2021-11,B2,5111.6351,-888.0414,2885.6246,upper
mura:Aomori:02307,2021-11,B2,3914.2244,-888.0414,2885.6246,upper
mura:Aomori:02321,2021-11,B2,6156.2861,-888.0414,2885.6246,upper
mura:Aomori:02323,2021-11,B2,4949.7995,-888.0414,2885.6246,upper
mura:Aomori:02343,2021-11,B2,7570.8953,-888.0414,2885.6246,upper
mura:Aomori:02361,2021-11,B2,8584.3037,-888.0414,2885.6246,upper
mura:Aomori:02362,2021-11,B2,9906.1445,-888.0414,2885.6246,upper
